INFO:root:Namespace(disable_logging=False, config='configs/mnist/toolname/qeba/targeted/adaptive/config.json', num_images=90, start_idx=400, log_dir=None)
INFO:root:{'threshold': 0.05, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'graph', 'action': 'rejection', 'precision': None, 'state': {'type': 'toolname', 'window_size': 10, 'num_hashes_keep': 50, 'round': 50, 'step_size': 1, 'num_processes': 5, 'model_path': '/home/lsf/BlackBox/ccs_23_oars_stateful_attacks/graph/graph_model_mnist.pt', 'input_shape': [1, 32, 32], 'salt': True}, 'architecture': 'lenet5', 'dataset': 'mnist'}
INFO:root:{'attack': 'QEBA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.1, 'max_num_dirs': 10000, 'num_dirs': 100, 'dim_reduction_factor': 4, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 4043 / 4290
INFO:root:True Label : 3 | Predicted Label : 3 | Cache Hits / Total Queries : 13314 / 13715
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 14148 / 14566
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 4076 / 4290
INFO:root:True Label : 4 | Predicted Label : 4 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 5 | Predicted Label : 5 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 0 | Predicted Label : 0 | Cache Hits / Total Queries : 7482 / 7733
INFO:root:True Label : 3 | Predicted Label : 3 | Cache Hits / Total Queries : 11460 / 11713
INFO:root:True Label : 1 | Predicted Label : 1 | Cache Hits / Total Queries : 15315 / 15540
INFO:root:True Label : 7 | Predicted Label : 7 | Cache Hits / Total Queries : 6010 / 6270
INFO:root:True Label : 7 | Predicted Label : 7 | Cache Hits / Total Queries : 54623 / 74751
INFO:root:True Label : 5 | Predicted Label : 5 | Cache Hits / Total Queries : 6942 / 7220
INFO:root:True Label : 7 | Predicted Label : 7 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 3125 / 3340
INFO:root:True Label : 7 | Predicted Label : 7 | Cache Hits / Total Queries : 15065 / 15348
INFO:root:True Label : 1 | Predicted Label : 5 | Cache Hits / Total Queries : 161 / 326
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 4073 / 4290
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 4056 / 4290
INFO:root:True Label : 1 | Predicted Label : 4 | Cache Hits / Total Queries : 162 / 313
INFO:root:True Label : 4 | Predicted Label : 4 | Cache Hits / Total Queries : 6048 / 6911
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 4046 / 4290
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 13749 / 14175
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 4044 / 4290
INFO:root:True Label : 0 | Predicted Label : 0 | Cache Hits / Total Queries : 4079 / 4290
INFO:root:True Label : 4 | Predicted Label : 4 | Cache Hits / Total Queries : 7614 / 8422
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 4085 / 4290
INFO:root:True Label : 1 | Predicted Label : 1 | Cache Hits / Total Queries : 4176 / 4266
INFO:root:True Label : 4 | Predicted Label : 4 | Cache Hits / Total Queries : 11162 / 11431
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 2001 / 2210
INFO:root:True Label : 1 | Predicted Label : 1 | Cache Hits / Total Queries : 2707 / 3916
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 4144 / 4290
INFO:root:True Label : 4 | Predicted Label : 4 | Cache Hits / Total Queries : 4130 / 4290
INFO:root:True Label : 5 | Predicted Label : 5 | Cache Hits / Total Queries : 4078 / 4290
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 4071 / 4290
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 22183 / 26860
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 4053 / 4290
INFO:root:True Label : 3 | Predicted Label : 3 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 7 | Predicted Label : 7 | Cache Hits / Total Queries : 8930 / 9276
INFO:root:True Label : 6 | Predicted Label : 6 | Cache Hits / Total Queries : 13035 / 15960
INFO:root:True Label : 0 | Predicted Label : 0 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 0 | Predicted Label : 0 | Cache Hits / Total Queries : 36606 / 39537
INFO:root:True Label : 3 | Predicted Label : 3 | Cache Hits / Total Queries : 7444 / 7697
INFO:root:True Label : 0 | Predicted Label : 0 | Cache Hits / Total Queries : 8746 / 9290
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 6 | Predicted Label : 6 | Cache Hits / Total Queries : 4023 / 4273
INFO:root:True Label : 4 | Predicted Label : 4 | Cache Hits / Total Queries : 3901 / 4157
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 15887 / 16140
INFO:root:True Label : 3 | Predicted Label : 3 | Cache Hits / Total Queries : 4068 / 4290
INFO:root:True Label : 3 | Predicted Label : 3 | Cache Hits / Total Queries : 3876 / 4134
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 6438 / 6706
INFO:root:True Label : 3 | Predicted Label : 3 | Cache Hits / Total Queries : 4045 / 4290
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 4045 / 4290
INFO:root:True Label : 1 | Predicted Label : 1 | Cache Hits / Total Queries : 5013 / 5338
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 4113 / 4290
INFO:root:True Label : 6 | Predicted Label : 6 | Cache Hits / Total Queries : 4044 / 4290
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 0 | Predicted Label : 0 | Cache Hits / Total Queries : 4042 / 4290
INFO:root:True Label : 5 | Predicted Label : 5 | Cache Hits / Total Queries : 4097 / 4290
INFO:root:True Label : 6 | Predicted Label : 6 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 6 | Predicted Label : 6 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 6 | Predicted Label : 6 | Cache Hits / Total Queries : 32962 / 38137
INFO:root:True Label : 3 | Predicted Label : 3 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 11469 / 11721
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 3903 / 4159
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 4042 / 4290
INFO:root:True Label : 7 | Predicted Label : 7 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 5 | Predicted Label : 5 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 15697 / 15947
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 4124 / 4290
INFO:root:True Label : 6 | Predicted Label : 6 | Cache Hits / Total Queries : 4108 / 4290
INFO:root:True Label : 1 | Predicted Label : 1 | Cache Hits / Total Queries : 4202 / 4290
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 4041 / 4290
INFO:root:True Label : 4 | Predicted Label : 4 | Cache Hits / Total Queries : 4041 / 4291
INFO:root:True Label : 1 | Predicted Label : 5 | Cache Hits / Total Queries : 161 / 326
INFO:root:True Label : 2 | Predicted Label : 2 | Cache Hits / Total Queries : 4063 / 4290
INFO:root:True Label : 5 | Predicted Label : 5 | Cache Hits / Total Queries : 5200 / 6139
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 4078 / 4290
INFO:root:True Label : 1 | Predicted Label : 5 | Cache Hits / Total Queries : 161 / 326
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 6504 / 7371
INFO:root:True Label : 7 | Predicted Label : 7 | Cache Hits / Total Queries : 4090 / 4290
INFO:root:True Label : 5 | Predicted Label : 5 | Cache Hits / Total Queries : 4130 / 4290
INFO:root:True Label : 4 | Predicted Label : 4 | Cache Hits / Total Queries : 4042 / 4290
INFO:root:True Label : 0 | Predicted Label : 0 | Cache Hits / Total Queries : 8412 / 9154
INFO:root:True Label : 8 | Predicted Label : 8 | Cache Hits / Total Queries : 4066 / 4290
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 4054 / 4290
INFO:root:True Label : 9 | Predicted Label : 9 | Cache Hits / Total Queries : 15516 / 15750
INFO:root:True Label : 1 | Predicted Label : 5 | Cache Hits / Total Queries : 168 / 333
INFO:root:FINISHED
